Name,discounted_price,actual_price,saving_percent,rating,reviews,brand,model,core,ssd,ssd_gb,has_valid_ssd
Infinix INBOOK Y3H Plus (YL513H) Core i5 12450H (16GB - 512GB),159999,169999,6,,,infinix,INBOOK Y3H Plus,Core i5,,,0
Infinix GTBOOK 13th Generation Core i9 13900H 1TB-32GB,422500,442999,5,,,infinix,GTBOOK 13th Generation Core i9 13900H 1TB-32GB,Core i9,,,0
Infinix INBook X2 1035G1 14 Inches Core i5 (8GB RAM - 512GB SSD),110999,159999,31,5,2,infinix,INBook X2 1035G1 14 Inches Core i5,Core i5,512GB SSD,512,1
Infinix INBook X2 1065G7 14 Inches Core i7 (8GB RAM - 512GB SSD),119999,169999,29,5,4,infinix,INBook X2 1065G7 14 Inches Core i7,Core i7,512GB SSD,512,1
Infinix INBook Y1 Plus Laptop Core i3 (8GB-256GB SSD) International,85999,111999,23,4.8,4,infinix,INBook Y1 Plus Laptop Core i3  International,Core i3,8GB-256GB SSD,8,1
Lenovo legion 5 14th core i7 14650hx (16GB-1TB) DOS,431999,450000,4,,,lenovo,legion 5 14th core i7 14650hx  DOS,,,,0
Lenovo V15 G4 Core i5 13th Generation,145999,150000,3,,,lenovo,V15 G4 Core i5 13th Generation,Core i5,,,0
Lenovo ThinkPad E16 G1 14 Inches 13th Gen Core i7 (8GB - 512GB),277999,300000,7,,,lenovo,ThinkPad E16 G1 14 Inches 13th Gen Core i7,Core i7,,,0
Lenovo Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS (8GB - 1TB),204999,219999,7,,,lenovo,Thinkbook 15 G2 1135G7 15.6 Inches 11th Gen Core i5 DOS,Core i5,,,0
Lenovo ThinkPad E14 Gen 4 Ryzen 5 DOS,141999,180000,21,,,lenovo,ThinkPad E14 Gen 4 Ryzen 5 DOS,Ryzen 5,,,0
Lenovo Legion Pro 7 Ultra 9 275HX (64GB-2TB SSD) RTX 5090 24GB 240Hz,1552999,1599900,3,,,lenovo,Legion Pro 7 Ultra 9 275HX  RTX 5090 24GB 240Hz,Ultra 9,,,0
LENOVO LOQ 15 Ci5 13450HX,261999,310000,15,,,lenovo,LOQ 15 Ci5 13450HX,,,,0
